Plant,Location,Q,ZN,PH,DBO,DQO,SS,SSV,SED,COND
D-8/11/90,P,,,8.3,161,,228,61.4,5.5,2050
D-9/11/90,P,,,8.1,140,,260,38.5,2.5,1361
D-11/11/90,P,,,7.9,117,,138,55.1,1.2,1493
D-12/11/90,P,,,8.3,159,,204,50.9,2.5,1717
D-13/11/90,P,,,8.0,198,,134,62.7,2.0,1779
D-14/11/90,P,,,8.1,144,,168,60.7,3.0,2000
D-15/11/90,P,,,8.4,312,,204,62.7,3.8,2880
D-16/11/90,P,,,7.9,127,,230,70.4,,2980
D-18/11/90,P,,,8.0,157,,154,71.4,4.0,1437
D-19/11/90,P,,,8.2,118,,138,66.7,1.4,1740
D-20/11/90,P,,,8.0,261,,146,68.5,3.0,1830
D-21/11/90,P,,,8.1,268,,238,69.7,4.5,1672
D-22/11/90,P,,,8.3,197,,218,70.6,4.0,2150
D-23/11/90,P,,,8.2,218,,210,66.7,4.0,2680
D-25/11/90,P,,,8.2,,,274,66.4,7.0,1681
D-26/11/90,P,,,8.4,221,,204,70.6,5.0,1955
D-27/11/90,P,,,8.1,194,,242,66.9,7.0,1704
D-28/11/90,P,,,8.2,289,,240,74.2,6.5,2340
D-29/11/90,P,,,7.8,363,,260,70.8,7.0,2460
D-30/11/90,P,,,8.0,357,,304,71.1,11.5,2250
D-1/10/90,P,,,7.8,235,,270,51.1,5.5,1100
D-2/10/90,P,,,7.9,205,,520,33.8,7.5,976
D-3/10/90,P,,,7.7,375,,556,43.9,10.0,1312
D-4/10/90,P,,,7.8,330,,476,52.1,7.5,2330
D-5/10/90,P,,,7.6,296,,384,54.2,7.0,1445
D-7/10/90,P,,,7.4,123,,228,42.1,2.0,1202
D-8/10/90,P,,,7.8,157,,188,53.2,2.0,2130
D-9/10/90,P,,,8.0,110,,164,70.7,3.0,1209
D-10/10/90,P,,,8.1,172,,180,77.8,2.5,1950
D-12/10/90,P,,,8.0,134,,208,48.1,3.5,890
D-14/10/90,P,,,7.9,170,,138,52.2,1.5,858
D-15/10/90,P,,,8.2,197,,188,53.2,4.0,931
D-16/10/90,P,,,8.3,184,,156,69.2,3.8,1564
D-17/10/90,P,,,7.9,177,,152,52.6,2.5,1180
D-18/10/90,P,,,8.3,157,,150,61.3,2.0,1934
D-19/10/90,P,,,8.3,217,,162,64.2,4.0,2100
D-21/10/90,P,,,7.8,165,,114,68.4,2.0,980
D-22/10/90,P,,,7.9,154,,1108,13.7,7.0,1534
D-23/10/90,P,,,7.9,115,,460,20.0,4.0,1046
D-24/10/90,P,,,8.0,186,,464,37.9,6.0,1858
D-25/10/90,P,,,8.0,,,284,42.3,2.8,2080
D-26/10/90,P,,,8.1,137,,188,55.3,1.8,2080
D-28/10/90,P,,,8.1,,,158,55.7,2.0,1489
D-29/10/90,P,,,8.2,,,224,55.4,2.5,1512
D-30/10/90,P,,,8.0,,,228,49.1,5.0,1575
D-1/3/91,P,,,7.8,166,,516,45.0,8.5,1174
D-3/3/91,P,,,7.9,192,,204,68.6,4.5,1526
D-4/3/91,P,,,7.9,135,,174,67.8,4.0,1730
D-5/3/91,P,,,7.9,277,,250,69.6,7.0,1774
D-6/3/91,P,,,7.9,236,,160,76.3,4.5,1957
D-7/3/91,P,,,8.0,130,,134,68.7,2.0,1718
D-8/3/91,P,,,7.9,261,,236,44.1,,1328
D-10/3/91,P,,,8.0,158,,158,65.8,3.0,1070
D-11/3/91,P,,,8.1,253,,210,63.8,6.3,1916
D-12/3/91,P,,,7.9,183,,170,69.4,4.0,1505
D-13/3/91,P,,,8.0,202,,220,63.6,5.7,2100
D-14/3/91,P,,,8.1,255,,224,67.9,5.0,1483
D-15/3/91,P,,,7.9,328,,272,72.3,5.0,2410
D-17/3/91,P,,,8.0,278,,340,60.6,6.5,1160
D-18/3/91,P,,,8.0,179,,166,69.9,3.0,1347
D-19/3/91,P,,,8.2,244,,178,64.0,5.0,2270
D-20/3/91,P,,,7.9,214,,186,71.0,3.5,1670
D-21/3/91,P,,,8.0,213,,198,64.6,5.0,2470
D-22/3/91,P,,,7.8,336,,226,75.2,,2070
D-24/3/91,P,,,7.7,98,,122,45.9,1.8,986
D-25/3/91,P,,,8.0,97,,218,32.1,1.9,1145
D-26/3/91,P,,,7.7,125,,218,50.5,3.0,1254
D-27/3/91,P,,,7.9,203,,146,65.8,3.0,1388
D-29/3/91,P,,,7.5,256,,204,64.7,,1116
D-31/3/91,P,,,7.6,296,,196,55.1,,936
D-1/2/91,P,,,8.5,269,,212,73.6,4.5,1676
D-3/2/91,P,,,8.3,159,,188,60.6,3.5,1120
D-4/2/91,P,,,8.1,213,,260,70.0,5.5,1930
D-5/2/91,P,,,8.0,156,,188,68.1,4.0,1580
D-6/2/91,P,,,8.0,312,,182,74.7,4.3,2160
D-7/2/91,P,,,8.1,323,,358,59.8,7.3,1592
D-8/2/91,P,,,8.3,224,,280,69.3,,1546
D-10/2/91,P,,,8.0,230,,200,75.0,5.0,1555
D-11/2/91,P,,,8.2,230,,262,67.9,7.0,1598
D-12/2/91,P,,,8.2,259,,264,72.0,6.3,1767
D-13/2/91,P,,,8.1,259,,352,68.2,13.2,1684
D-14/2/91,P,,,8.2,170,,224,73.2,5.5,1593
D-15/2/91,P,,,8.2,250,,310,7.1,7.3,1733
D-17/2/91,P,,,8.0,109,,186,62.4,3.8,1148
D-18/2/91,P,,,8.2,225,,300,60.7,8.0,1663
D-19/2/91,P,,,8.2,305,,244,67.2,5.5,1643
D-21/2/91,P,,,7.9,252,,246,70.7,6.5,1186
D-22/2/91,P,,,7.6,370,,194,75.3,,1185
D-24/2/91,P,,,7.9,375,,292,67.1,8.0,1350
D-25/2/91,P,,,7.9,379,,400,65.0,10.0,1790
D-26/2/91,P,,,8.0,449,,298,71.1,9.0,1746
D-27/2/91,P,,,7.9,158,,292,74.0,7.2,2200
D-28/2/91,P,,,8.3,411,,322,73.3,10.0,2200
D-1/1/91,P,,,8.1,264,,142,73.2,2.5,1300
D-2/1/91,P,,,8.2,117,,184,71.7,4.0,1629
D-3/1/91,P,,,8.1,273,,158,74.7,4.5,1846
D-4/1/91,P,,,8.3,220,,204,74.5,5.3,1583
D-6/1/91,P,,,8.1,243,,142,76.1,2.5,1104
D-7/1/91,P,,,8.2,285,,186,66.7,5.5,1217
D-8/1/91,P,,,8.1,231,,196,70.4,5.5,1338
D-9/1/91,P,,,8.2,207,,288,65.3,11.0,1535
D-10/1/91,P,,,8.1,189,,298,75.2,6.5,1300
D-11/1/91,P,,,7.7,339,,148,68.9,,1312
D-13/1/91,P,,,7.8,182,,194,67.0,3.3,1148
D-14/1/91,P,,,8.2,106,,134,74.6,2.5,1377
D-15/1/91,P,,,8.3,222,,114,71.9,2.5,1533
D-16/1/91,P,,,8.1,159,,156,67.9,3.0,2680
D-17/1/91,P,,,8.2,214,,130,80.0,3.5,1661
D-18/1/91,P,,,8.3,211,,162,72.8,4.0,1746
D-20/1/91,P,,,7.8,240,,168,71.4,4.0,1144
D-21/1/91,P,,,8.3,273,,196,75.5,5.0,1362
D-22/1/91,P,,,8.1,293,,192,74.0,5.0,2200
D-23/1/91,P,,,8.3,257,,152,75.0,4.0,1230
D-24/1/91,P,,,8.2,221,,230,73.9,5.0,1354
D-25/1/91,P,,,7.9,517,,186,73.1,,1558
D-27/1/91,P,,,8.0,331,,254,69.3,6.0,1453
D-28/1/91,P,,,8.3,268,,238,67.2,5.5,1400
D-29/1/91,P,,,8.2,258,,198,72.7,3.3,1559
D-30/1/91,P,,,8.0,282,,210,80.0,5.5,1372
D-31/1/91,P,,,8.4,244,,256,72.7,8.0,1685
D-1/5/91,P,,,7.6,122,,146,64.4,2.0,1060
D-2/5/91,P,,,7.9,140,,158,54.4,2.5,1448
D-3/5/91,P,,,7.9,154,,174,57.5,3.0,1485
D-5/5/91,P,,,7.7,145,,148,66.2,2.5,1266
D-6/5/91,P,,,7.8,345,,210,67.6,3.5,2120
D-7/5/91,P,,,8.0,209,,214,69.2,4.0,1867
D-8/5/91,P,,,7.6,121,,288,36.1,3.0,646
D-9/5/91,P,,,7.4,84,,198,34.3,1.5,912
D-10/5/91,P,,,7.7,168,,198,48.5,,1517
D-12/5/91,P,,,7.5,122,,144,51.4,1.3,1206
D-13/5/91,P,,,7.7,175,,196,53.1,2.5,1040
D-14/5/91,P,,,8.0,196,,406,49.8,9.2,1358
D-15/5/91,P,,,8.0,218,,256,63.3,6.5,1441
D-16/5/91,P,,,7.9,302,,374,52.9,9.0,1393
D-17/5/91,P,,,7.7,201,,314,55.4,5.0,1340
D-19/5/91,P,,,7.7,138,,184,63.0,2.7,1073
D-20/5/91,P,,,7.8,136,,296,45.3,5.6,1063
D-21/5/91,P,,,7.8,210,,252,54.7,6.3,1724
D-22/5/91,P,,,7.9,399,,238,62.2,6.0,1232
D-23/5/91,P,,,7.7,293,,248,64.5,6.5,1341
D-24/5/91,P,,,7.6,308,,1692,17.7,,1335
D-26/5/91,P,,,7.7,135,,216,56.5,5.5,1030
D-27/5/91,P,,,7.8,126,,206,54.4,3.0,2050
D-28/5/91,P,,,7.6,174,,1692,21.3,46.0,1906
D-29/5/91,P,,,7.9,216,,342,46.2,7.5,1202
D-30/5/91,P,,,7.8,239,,420,53.3,19,1893
D-31/5/91,P,,,7.8,196,,764,30.4,17,2110
D-1/4/91,P,,,7.7,166,,206,66.0,4.5,1270
D-2/4/91,P,,,7.9,213,,224,68.8,6.0,1257
D-3/4/91,P,,,7.9,324,,268,71.6,5.0,1280
D-4/4/91,P,,,8.2,397,,238,68.1,5.0,1612
D-5/4/91,P,,,7.9,365,,212,63.2,5.0,1303
D-7/4/91,P,,,7.6,255,,182,69.2,3.9,1436
D-8/4/91,P,,,7.9,360,,266,58.6,7.0,1170
D-9/4/91,P,,,7.9,328,,242,68.6,5.8,1366
D-10/4/91,P,,,7.7,241,,224,65.2,5.0,1248
D-11/4/91,P,,,7.9,232,,218,67.0,5.5,1403
D-12/4/91,P,,,7.4,141,,216,64.8,,1425
D-14/4/91,P,,,7.7,206,,256,54.7,5.5,982
D-15/4/91,P,,,7.9,199,,214,70.1,5.5,1530
D-16/4/91,P,,,8.0,254,,200,62.0,5.0,1829
D-17/4/91,P,,,7.8,337,,260,62.3,6.0,1506
D-18/4/91,P,,,8.1,194,,234,61.5,5.0,1770
D-19/4/91,P,,,8.0,160,,244,55.7,5.3,1335
D-21/4/91,P,,,7.9,226,,200,63.0,3.5,971
D-22/4/91,P,,,7.8,252,,208,47.1,3.5,1105
D-23/4/91,P,,,7.7,167,,210,61.9,4.5,1171
D-24/4/91,P,,,7.8,357,,572,55.9,15.5,1378
D-25/4/91,P,,,7.8,258,,464,50.9,7.5,1410
D-26/4/91,P,,,7.3,125,,146,58.9,,1203
D-28/4/91,P,,,7.5,130,,310,40.0,3.0,827
D-29/4/91,P,,,7.7,125,,166,55.4,19,1418
D-1/7/91,P,,,7.6,211,,202,67.3,4.5,2090
D-2/7/91,P,,,7.8,138,,236,52.5,4.5,1347
D-3/7/91,P,,,7.6,137,,232,62.9,4.0,1629
D-4/7/91,P,,,7.7,140,,156,61.5,4.0,1528
D-5/7/91,P,,,7.4,138,,272,62.5,,1334
D-7/7/91,P,,,7.5,154,,182,64.8,3.0,1115
D-8/7/91,P,,,7.6,155,,302,54.3,5.5,1359
D-9/7/91,P,,,7.6,225,,212,63.2,5.5,1395
D-10/7/91,P,,,7.8,159,,184,67.4,3.1,1520
D-11/7/91,P,,,7.8,158,,280,55.7,6.5,1486
D-12/7/91,P,,,7.8,229,,222,60.4,4.5,1330
D-14/7/91,P,,,7.7,166,,198,66.7,3.0,1126
D-15/7/91,P,,,7.7,182,,248,61.0,4.0,1218
D-16/7/91,P,,,7.7,127,,194,60.8,4.0,1710
D-17/7/91,P,,,7.7,221,,280,62.9,7.0,1240
D-18/7/91,P,,,7.6,168,,222,64.0,4.5,1496
D-19/7/91,P,,,7.3,192,,236,58.5,4.5,1165
D-21/7/91,P,,,7.4,238,,232,59.5,3.0,1383
D-22/7/91,P,,,7.5,155,,230,61.7,5.0,1734
D-23/7/91,P,,,7.7,195,,208,67.3,3.5,2100
D-24/7/91,P,,,8.0,124,,136,69.1,2.0,1320
D-25/7/91,P,,,7.7,139,,198,67.7,2.5,2050
D-26/7/91,P,,,7.6,129,,256,50.0,2.5,2060
D-28/7/91,P,,,7.5,148,,134,77.6,1.7,1668
D-29/7/91,P,,,7.8,128,,172,75.6,3.5,1929
D-30/7/91,P,,,7.4,155,,196,60.2,3.0,1556
D-31/7/91,P,,,7.5,192,,200,67.0,3.0,1485
D-2/6/91,P,,,7.7,137,,236,53.4,4.0,1442
D-3/6/91,P,,,7.8,197,,354,54.2,8.0,1377
D-4/6/91,P,,,7.8,218,,318,55.3,6.0,1205
D-5/6/91,P,,,7.9,243,,456,49.6,9.5,1263
D-6/6/91,P,,,7.7,257,,416,50.0,8.0,1350
D-7/6/91,P,,,7.6,182,,332,55.4,,1093
D-9/6/91,P,,,7.7,173,,246,58.5,5.9,1020
D-10/6/91,P,,,7.7,227,,500,52.8,8.5,1219
D-12/6/91,P,,,7.6,315,,348,56.3,9.0,1816
D-13/6/91,P,,,7.8,243,,382,56.5,7.0,1420
D-14/6/91,P,,,7.4,197,,426,49.8,,1882
D-16/6/91,P,,,7.6,185,,244,58.2,5.0,1489
D-17/6/91,P,,,7.8,206,,218,55.1,5.5,1782
D-18/6/91,P,,,7.8,279,,268,57.5,6.0,1368
D-19/6/91,P,,,7.7,163,,274,54.0,6.0,1517
D-20/6/91,P,,,7.8,301,,236,69.5,4.5,1478
D-21/6/91,P,,,7.9,217,,214,62.6,4.5,1423
D-24/6/91,P,,,7.5,137,,168,64.3,2.5,1133
D-25/6/91,P,,,7.7,207,,212,59.4,5.5,1341
D-26/6/91,P,,,7.7,156,,178,66.3,3.0,1549
D-27/6/91,P,,,7.8,216,,190,80.0,4.5,1589
D-28/6/91,P,,,7.7,147,,182,68.1,3.5,1789
D-30/6/91,P,,,7.7,143,,172,,3.3,1616
D-1/10/91,P,,,7.6,161,,204,55.9,2.8,991
D-2/10/91,P,,,7.7,169,,264,47.7,4.2,1390
D-3/10/91,P,,,7.5,219,,218,59.6,3.5,1322
D-4/10/91,P,,,7.7,,,180,66.7,4.0,1264
D-5/10/91,P,,,7.6,155,,128,79.7,3.0,1251
D-6/10/91,P,,,7.9,135,,236,56.8,4.5,1595
D-8/10/91,P,,,7.7,117,,290,40.0,3.5,1385
D-9/10/91,P,,,7.7,149,,354,45.8,7.0,1274
D-11/10/91,P,,,7.7,167,,304,50.7,6.0,1384
D-12/10/91,P,,,7.9,163,,272,58.8,5.5,1223
D-13/10/91,P,,,7.7,142,,284,53.5,6.0,1165
D-15/10/91,P,,,7.8,128,,356,41.0,6.0,870
D-16/10/91,P,,,7.9,180,,316,53.2,7.0,2070
D-17/10/91,P,,,7.7,,,356,60.0,7.5,1698
D-18/10/91,P,,,7.8,228,,276,59.4,5.5,1584
D-19/10/91,P,,,7.9,180,,302,64.2,7.2,1316
D-20/10/91,P,,,7.8,244,,268,64.2,5.0,2100
D-22/10/91,P,,,7.8,108,,158,67.1,3.0,1516
D-23/10/91,P,,,7.8,170,,240,66.7,3.5,1311
D-24/10/91,P,,,7.8,192,,164,67.1,5.0,1461
D-25/10/91,P,,,7.6,169,,222,55.9,5.0,1637
D-26/10/91,P,,,7.7,,,140,58.6,3.0,1414
D-27/10/91,P,,,7.7,170,,178,67.4,3.0,1684
D-29/10/91,P,,,7.7,182,,178,65.2,2.5,1417
D-30/10/91,P,,,7.9,,,214,66.4,7.2,1814
D-1/8/91,P,,,7.5,148,,172,65.1,2.5,1729
D-2/8/91,P,,,7.5,117,,172,65.1,2.0,1479
D-4/8/91,P,,,7.4,145,,109,68.8,1.3,1164
D-5/8/91,P,,,7.6,136,,194,68.0,2.5,1095
D-6/8/91,P,,,7.8,163,,200,69.0,3.0,904
D-7/8/91,P,,,7.6,132,,170,71.8,2.5,921
D-8/8/91,P,,,7.5,113,,498,44.2,8.0,882
D-9/8/91,P,,,7.6,129,,164,69.5,7.5,918
D-11/8/91,P,,,7.5,113,,220,38.2,1.0,731
D-12/8/91,P,,,7.6,103,,172,57.0,1.5,852
D-13/8/91,P,,,7.5,105,,166,64.0,1.5,880
D-14/8/91,P,,,7.6,110,,104,67.3,1.5,877
D-16/8/91,P,,,7.7,153,,168,59.5,3.0,992
D-18/8/91,P,,,7.4,130,,156,75.6,2.5,1023
D-19/8/91,P,,,7.6,131,,166,71.1,1.7,1083
D-20/8/91,P,,,7.7,147,,156,61.5,1.8,974
D-21/8/91,P,,,7.6,124,,162,69.1,3.0,1048
D-22/8/91,P,,,7.6,163,,136,70.6,2.5,1039
D-23/8/91,P,,,7.6,102,,120,85.0,2.0,1012
D-25/8/91,P,,,7.6,103,,194,62.3,,966
D-26/8/91,P,,,7.7,108,,146,65.8,3.0,873
D-27/8/91,P,,,7.8,210,,192,68.8,4.5,991
D-28/8/91,P,,,7.5,163,,200,63.0,3.5,1040
D-29/8/91,P,,,7.4,191,,226,67.3,3.5,1198
D-30/8/91,P,,,7.4,150,,210,60.0,,1081
D-1/3/90,D,,,7.9,,,280,94,72.3,0.3
D-2/3/90,D,,,7.6,,,474,96,79.2,0.4
D-4/3/90,D,,,7.7,,,272,92,78.3,0.2
D-5/3/90,D,,,7.8,158,,376,96,77.1,0.4
D-6/3/90,D,,,7.8,,,372,88,68.2,0.2
D-7/3/90,D,,,7.7,150,,460,100,76.0,0.3
D-8/3/90,D,,,7.8,192,,376,122,72.1,0.4
D-9/3/90,D,,,7.6,181,,350,90,71.1,0.4
D-11/3/90,D,,,7.7,111,,282,124,77.4,0.3
D-12/3/90,D,,,7.8,164,,463,100,78.0,0.6
D-13/3/90,D,,,7.7,172,,412,104,71.2,0.4
D-14/3/90,D,,,7.6,116,,276,104,51.9,0.3
D-15/3/90,D,,,7.7,79,,216,70,82.9,0.3
D-16/3/90,D,,,7.8,136,,325,78,79.5,0.4
D-18/3/90,D,,,7.6,109,,243,88,81.8,0.2
D-19/3/90,D,,,7.7,118,,320,70,88.6,0.4
D-20/3/90,D,,,7.4,138,,269,90,73.3,0.5
D-21/3/90,D,,,7.7,166,,419,174,80.5,1.3
D-22/3/90,D,,,7.6,172,,345,102,84.3,0.4
D-23/3/90,D,,,7.5,175,,376,88,65.9,0.4
D-25/3/90,D,,,7.5,108,,194,82,85.4,0.4
D-26/3/90,D,,,7.5,128,,302,92,78.3,0.3
D-27/3/90,D,,,7.7,121,,302,108,72.2,0.6
D-28/3/90,D,,,7.8,148,,302,92,78.3,0.3
D-29/3/90,D,,,8.0,140,,287,84,78.6,0.4
D-30/3/90,D,,,7.8,177,,319,88,81.8,0.2
D-1/2/90,D,,,7.8,,,321,92,73.9,0.5
D-2/2/90,D,,,7.8,123,,317,98,69.4,0.4
D-4/2/90,D,,,7.6,126,,299,112,75.0,0.2
D-5/2/90,D,,,7.9,217,,433,134,79.1,0.3
D-6/2/90,D,,,7.9,188,,355,88,81.8,0.2
D-7/2/90,D,,,7.8,155,,301,86,81.4,0.2
D-8/2/90,D,,,7.8,165,,368,90,77.8,0.2
D-9/2/90,D,,,7.7,168,,333,90,77.8,0.2
D-11/2/90,D,,,7.7,164,,310,102,82.4,0.2
D-12/2/90,D,,,7.8,175,,382,108,81.5,0.2
D-13/2/90,D,,,7.8,192,,450,120,66.7,0.5
D-14/2/90,D,,,7.9,155,,361,100,80.0,0.4
D-15/2/90,D,,,7.7,186,,334,104,80.8,0.4
D-16/2/90,D,,,7.8,165,,345,92,80.4,0.3
D-18/2/90,D,,,7.7,127,,270,100,74.0,0.8
D-19/2/90,D,,,7.9,157,,341,118,72.9,1.0
D-21/2/90,D,,,7.7,187,,352,118,78.0,0.5
D-22/2/90,D,,,7.9,154,,300,96,77.1,0.5
D-23/2/90,D,,,8.1,178,,363,92,80.4,0.4
D-25/2/90,D,,,7.7,118,,278,110,74.5,0.7
D-26/2/90,D,,,7.7,,,408,120,73.3,0.6
D-27/2/90,D,,,7.9,,,326,94,93.6,0.6
D-28/2/90,D,,,7.7,,,326,82,68.3,0.4
D-1/1/90,D,,,7.6,,,259,70,48.6,0.2
D-2/1/90,D,,,7.9,156,,368,96,72.9,0.3
D-3/1/90,D,,,7.8,155,,364,76,81.6,0.2
D-4/1/90,D,,,7.8,190,,355,100,80.0,0.3
D-7/1/90,D,,,7.5,139,,314,94,87.2,0.2
D-8/1/90,D,,,7.8,158,,259,100,80.0,0.4
D-9/1/90,D,,,7.8,128,,299,82,90.2,0.2
D-10/1/90,D,,,7.9,174,,322,100,72.0,0.3
D-11/1/90,D,,,7.7,121,,259,100,82.0,0.5
D-12/1/90,D,,,7.7,193,,450,134,70.1,1.3
D-14/1/90,D,,,7.6,124,,269,96,75.0,0.4
D-15/1/90,D,,,7.8,172,,411,106,83.0,0.2
D-16/1/90,D,,,7.8,167,,345,102,74.5,0.7
D-17/1/90,D,,,7.9,155,,345,106,69.8,0.5
D-18/1/90,D,,,7.7,152,,319,94,72.3,0.6
D-19/1/90,D,,,7.8,127,,354,86,79.1,0.4
D-21/1/90,D,,,7.6,137,,302,94,85.1,0.5
D-22/1/90,D,,,7.8,147,,321,76,76.3,0.4
D-23/1/90,D,,,7.9,176,,360,112,76.8,0.4
D-24/1/90,D,,,7.8,219,,303,90,68.9,0.4
D-25/1/90,D,,,7.8,183,,376,110,70.9,1.0
D-26/1/90,D,,,7.6,164,,368,106,69.8,0.4
D-28/1/90,D,,,7.5,85,,236,76,68.4,0.5
D-29/1/90,D,,,7.9,186,,394,108,72.2,1.3
D-30/1/90,D,,,8.0,188,,379,108,72.2,0.7
D-31/1/90,D,,,7.8,,,368,110,72.7,0.6
D-1/6/90,D,,,7.7,123,,246,76,78.9,0.2
D-3/6/90,D,,,7.8,118,,233,88,70.5,0.4
D-4/6/90,D,,,7.6,79,,198,92,63.0,0.3
D-5/6/90,D,,,7.7,156,,323,140,65.7,0.3
D-6/6/90,D,,,7.8,147,,327,102,68.6,0.3
D-7/6/90,D,,,7.7,119,,319,102,64.7,0.3
D-8/6/90,D,,,7.5,190,,361,160,51.3,1.5
D-10/6/90,D,,,7.8,147,,256,128,65.6,0.8
D-11/6/90,D,,,7.9,84,,204,124,53.2,0.6
D-12/6/90,D,,,7.9,133,,206,120,48.3,0.6
D-13/6/90,D,,,7.7,143,,299,114,61.4,0.4
D-14/6/90,D,,,7.6,101,,176,126,47.6,0.5
D-15/6/90,D,,,7.7,109,,244,120,56.7,0.3
D-17/6/90,D,,,7.6,132,,223,174,50.6,0.4
D-18/6/90,D,,,7.7,142,,280,146,65.8,0.6
D-19/6/90,D,,,7.7,143,,261,100,70.0,0.4
D-20/6/90,D,,,7.6,140,,246,122,59.0,0.3
D-21/6/90,D,,,7.9,138,,294,108,68.5,0.3
D-22/6/90,D,,,7.7,151,,306,88,79.5,0.2
D-24/6/90,D,,,7.5,122,,233,90,77.8,0.2
D-25/6/90,D,,,7.8,98,,261,78,76.9,0.2
D-26/6/90,D,,,7.9,135,,210,108,57.4,0.2
D-27/6/90,D,,,7.9,107,,266,84,57.1,0.2
D-28/6/90,D,,,7.8,128,,270,68,70.6,0.1
D-29/6/90,D,,,7.8,124,,278,74,72.9,0.1
D-1/5/90,D,,,7.5,160,,284,80,80.0,0.2
D-2/5/90,D,,,7.8,174,,344,116,70.7,0.8
D-3/5/90,D,,,7.9,152,,338,88,77.3,0.2
D-4/5/90,D,,,7.7,123,,255,80,80.0,0.3
D-6/5/90,D,,,7.5,111,,222,86,76.7,0.2
D-7/5/90,D,,,7.8,285,,,110,70.9,0.4
D-8/5/90,D,,,7.9,166,,265,96,60.4,0.2
D-9/5/90,D,,,7.6,198,,348,118,74.6,0.5
D-10/5/90,D,,,7.9,141,,285,86,69.8,0.2
D-11/5/90,D,,,7.7,130,,257,84,71.4,0.1
D-13/5/90,D,,,7.8,117,,212,78,76.9,0.1
D-14/5/90,D,,,7.8,140,,337,138,63.8,1.5
D-15/5/90,D,,,7.8,146,,353,230,55.7,0.2
D-16/5/90,D,,,7.8,,,334,98,77.6,0.2
D-17/5/90,D,,,7.9,,,372,146,72.6,2.0
D-18/5/90,D,,,7.8,210,,360,98,65.3,0.2
D-20/5/90,D,,,7.7,140,,243,104,76.9,0.4
D-21/5/90,D,,,7.8,102,,255,84,73.8,0.2
D-22/5/90,D,,,7.6,122,,214,92,63.0,0.2
D-23/5/90,D,,,7.9,111,,218,100,52.0,0.3
D-24/5/90,D,,,7.9,118,,260,76,76.3,0.3
D-25/5/90,D,,,8.0,116,,233,80,77.5,0.2
D-27/5/90,D,,,7.7,102,,176,76,78.9,0.1
D-28/5/90,D,,,7.9,98,,246,84,61.9,0.3
D-29/5/90,D,,,8.0,97,,220,70,77.1,0.2
D-30/5/90,D,,,8.0,110,,248,92,67.4,0.4
D-1/4/90,D,,,7.7,127,,281,102,72.5,0.7
D-2/4/90,D,,,8.0,78,,190,70,57.1,0.0
D-3/4/90,D,,,7.9,126,,316,80,75.0,0.7
D-4/4/90,D,,,7.7,141,,281,76,78.9,0.3
D-5/4/90,D,,,7.9,135,,329,110,78.2,0.7
D-6/4/90,D,,,7.6,114,,285,104,71.2,0.5
D-8/4/90,D,,,7.8,81,,227,64,96.9,0.4
D-9/4/90,D,,,7.8,136,,306,106,47.2,0.4
D-10/4/90,D,,,8.1,119,,323,114,70.2,0.4
D-11/4/90,D,,,7.8,130,,349,120,66.7,0.4
D-13/4/90,D,,,7.3,121,,235,86,81.4,
D-16/4/90,D,,,7.5,92,,192,78,76.9,0.3
D-17/4/90,D,,,7.7,79,,250,74,81.0,0.2
D-18/4/90,D,,,7.8,147,,312,90,75.6,0.3
D-19/4/90,D,,,7.7,166,,312,82,75.6,0.2
D-20/4/90,D,,,7.8,135,,222,,,0.3
D-22/4/90,D,,,7.6,73,,124,62,67.7,0.3
D-23/4/90,D,,,7.8,122,,232,68,61.8,0.3
D-24/4/90,D,,,7.9,91,,184,66,69.7,0.3
D-25/4/90,D,,,7.8,122,,216,78,71.8,0.2
D-26/4/90,D,,,7.9,161,,347,90,77.8,0.4
D-27/4/90,D,,,7.8,176,,416,112,69.6,0.4
D-29/4/90,D,,,7.4,172,,364,104,78.8,1.0
D-1/7/90,D,,,7.3,81,,204,62,64.5,0.1
D-2/7/90,D,,,7.9,130,,304,66,72.7,0.2
D-3/7/90,D,,,7.8,114,,269,78,56.4,0.1
D-4/7/90,D,,,8.1,113,,271,70,65.7,0.2
D-5/7/90,D,,,7.9,116,,285,66,72.7,0.3
D-6/7/90,D,,,7.7,120,,274,72,63.9,0.3
D-8/7/90,D,,,7.5,95,,251,82,75.6,0.2
D-9/7/90,D,,,7.8,53,,239,78,64.1,0.2
D-10/7/90,D,,,7.9,76,,173,74,64.9,0.2
D-11/7/90,D,,,7.8,107,,260,96,72.9,0.2
D-12/7/90,D,,,7.8,114,,304,104,71.2,0.2
D-13/7/90,D,,,7.8,120,,320,90,75.6,0.2
D-15/7/90,D,,,7.7,108,,256,62,,0.5
D-16/7/90,D,,,8.0,119,,250,90,66.7,0.4
D-17/7/90,D,,,7.9,110,,274,82,51.2,0.2
D-18/7/90,D,,,7.7,122,,304,78,89.7,0.2
D-19/7/90,D,,,7.9,132,,338,170,63.5,1.7
D-20/7/90,D,,,7.9,139,,353,164,45.9,1.8
D-22/7/90,D,,,7.7,105,,274,104,62.9,0.8
D-23/7/90,D,,,7.6,133,,278,86,72.1,0.2
D-24/7/90,D,,,7.6,102,,267,84,71.4,0.2
D-25/7/90,D,,,7.7,94,,246,244,23.8,0.2
D-26/7/90,D,,,7.7,118,,272,88,59.1,0.2
D-27/7/90,D,,,7.7,87,,216,76,73.7,0.2
